Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_circle_1,60.649137,35.924187,-28.993,56.149132,38.522266,-28.993,56.149132,33.326107,-28.993
2,3_point_circle_2,60.64913,-10.724954,-28.993,56.14913,-8.126878,-28.993,56.14913,-13.32303,-28.993
3,3_point_circle_3,17.999994,-10.724954,-28.993,13.499994,-8.126878,-28.993,13.499994,-13.32303,-28.993
4,Line,55.899134,33.487484,-28.993,55.899134,38.360882,-28.993,NA,NA,NA
5,Line,59.399133,33.487484,-28.993,59.399133,38.360882,-28.993,NA,NA,NA
6,Line,55.899134,37.674184,-28.993,59.399133,37.674184,-28.993,NA,NA,NA
7,Line,55.899134,34.174182,-28.993,59.399133,34.174182,-28.993,NA,NA,NA
8,Line,55.899134,-13.161653,-28.993,55.899134,-8.288255,-28.993,NA,NA,NA
9,Line,59.399133,-13.161653,-28.993,59.399133,-8.288255,-28.993,NA,NA,NA
10,Line,55.899134,-8.974954,-28.993,59.399133,-8.974954,-28.993,NA,NA,NA
11,Line,55.899134,-12.474954,-28.993,59.399133,-12.474954,-28.993,NA,NA,NA
12,Line,13.249995,-13.161653,-28.993,13.249995,-8.288255,-28.993,NA,NA,NA
13,Line,16.749995,-13.161653,-28.993,16.749995,-8.288255,-28.993,NA,NA,NA
14,Line,13.249995,-8.974954,-28.993,16.749995,-8.974954,-28.993,NA,NA,NA
15,Line,13.249995,-12.474954,-28.993,16.749995,-12.474954,-28.993,NA,NA,NA
