Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,159.15,89.499998,0.0,146.550007,89.499998,0.0,NA,NA,NA
2,Line,146.550007,89.499998,0.0,146.550007,90.699997,0.0,NA,NA,NA
3,Line,146.550007,90.699997,0.0,146.149998,91.099997,0.0,NA,NA,NA
4,Line,146.149998,91.099997,0.0,142.950001,91.099997,0.0,NA,NA,NA
5,Line,142.950001,91.099997,0.0,142.550001,90.699997,0.0,NA,NA,NA
6,Line,142.550001,90.699997,0.0,142.550001,89.499998,0.0,NA,NA,NA
7,Line,142.550001,89.499998,0.0,117.569189,89.499998,0.0,NA,NA,NA
