Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10
1,spline_10_points_1,126.278312,98.19524,3.011627,126.839599,97.389564,3.157177,127.512055,96.682025,3.436888,128.2667,96.079202,3.815503,129.077128,95.582277,4.263584,129.929541,95.184185,4.762484,130.808061,94.88134,5.295124,131.705552,94.668426,5.851498,132.615649,94.54183,6.423022,133.528767,94.500005,7.0
2,spline_10_points_2,133.528767,94.500005,7.0,132.729789,94.545752,6.278778,131.933454,94.684217,5.564373,131.14815,94.917092,4.868905,130.379445,95.248329,4.203105,129.633583,95.683741,3.57948,128.924459,96.227253,3.019378,128.264144,96.88659,2.54611,127.675745,97.660461,2.196472,127.18462,98.54167,2.014533
