Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,157.149992,91.999998,0.0,157.149992,91.999998,-0.5,NA,NA,NA
2,Line,158.271332,91.999998,1.121321,157.149992,91.999998,0.0,NA,NA,NA
3,Line,157.149992,91.999998,-0.5,160.149992,91.999998,-0.5,NA,NA,NA
4,Line,160.149992,91.999998,15.5,160.149992,91.999998,-0.5,NA,NA,NA
5,Line,157.149992,91.999998,15.5,160.149992,91.999998,15.5,NA,NA,NA
6,Line,157.149992,91.999998,15.0,157.149992,91.999998,15.5,NA,NA,NA
7,Line,157.149992,91.999998,15.0,158.271421,91.999998,13.878593,NA,NA,NA
8,Line,159.15,91.999998,11.757544,159.15,91.999998,3.242586,NA,NA,NA
9,3_point_arc_1,159.15,91.999998,11.757358,158.921676,91.999998,12.905422,158.271332,91.999998,13.878682
10,3_point_arc_2,159.15,91.999998,3.242641,158.921652,91.999998,2.094589,158.271332,91.999998,1.121321
