Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,90.85,131.500006,0.4,90.85,131.500006,18.000001,NA,NA,NA
2,3_point_arc_1,90.85,131.500006,18.000001,91.728691,131.500006,20.121323,93.850017,131.500006,21.000001
3,Line,93.850017,131.500006,21.000004,105.249998,131.500006,21.000004,NA,NA,NA
4,3_point_arc_2,105.249998,131.500006,21.000001,106.886838,131.500006,20.514113,107.993463,131.500006,19.213839
5,3_point_arc_3,107.993463,131.500006,19.213839,108.186187,131.497191,18.611499,108.249998,131.494519,18.000001
6,Line,108.249998,131.494519,17.0,108.249998,131.494519,18.000001,NA,NA,NA
7,3_point_arc_4,108.249998,131.494519,17.0,108.853276,131.438077,15.56853,110.250006,131.059504,15.0
8,3_point_arc_5,110.250006,131.059504,15.0,112.127079,129.848942,15.0,113.43132,128.035707,15.0
