Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,110.250006,126.5,15.0,110.455618,126.5,15.0,NA,NA,NA
2,Line,110.455618,126.5,15.0,113.43132,126.5,15.0,NA,NA,NA
3,Line,113.43132,126.5,15.0,113.43132,126.5,14.9,NA,NA,NA
4,Line,113.43132,126.5,14.9,110.250006,126.5,14.9,NA,NA,NA
5,Line,110.250006,126.5,14.9,110.250006,126.5,15.0,NA,NA,NA
6,Line,110.250006,126.5,14.9,90.85,126.5,14.9,NA,NA,NA
7,Line,90.85,126.5,14.9,90.85,126.5,15.0,NA,NA,NA
8,Line,90.85,126.5,17.0,90.85,126.5,15.0,NA,NA,NA
9,Line,90.85,126.5,17.0,90.85,126.5,18.000001,NA,NA,NA
10,Line,93.850002,126.5,21.000001,105.250006,126.5,21.000001,NA,NA,NA
11,Line,108.249998,126.5,17.0,108.249998,126.5,18.000001,NA,NA,NA
12,3_point_arc_1,108.249998,126.5,17.0,108.835789,126.5,15.585786,110.250006,126.5,15.0
13,3_point_arc_2,108.249998,126.5,18.000001,107.371321,126.5,20.121319,105.250006,126.5,21.000001
14,3_point_arc_3,93.850002,126.5,21.000001,91.728685,126.5,20.121317,90.85,126.5,18.000001
