Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,133.528767,94.499998,0.0,159.15,94.499998,0.0,NA,NA,NA
2,3_point_arc_1,133.528767,94.500005,0.0,129.767675,95.596263,0.0,127.18462,98.54167,0.0
3,Line,113.43132,128.035707,0.0,127.18462,98.54167,0.0,NA,NA,NA
4,3_point_arc_2,113.43132,128.035707,0.0,111.21727,130.560351,0.0,107.993469,131.500006,0.0
5,3_point_arc_3,107.993469,131.500006,0.0,99.421735,131.500006,0.0,90.85,131.500006,0.0
6,Line,90.85,118.900003,0.0,90.85,131.500006,0.0,NA,NA,NA
7,3_point_arc_4,90.85,118.900003,0.0,92.138732,115.78873,0.0,95.250006,114.499998,0.0
8,Line,99.158554,114.499998,0.0,95.250006,114.499998,0.0,NA,NA,NA
9,3_point_arc_5,99.158554,114.499998,0.0,101.630134,113.779602,0.0,103.32757,111.844044,0.0
10,Line,112.131348,92.964296,0.0,103.32757,111.844044,0.0,NA,NA,NA
11,3_point_arc_6,112.131348,92.964296,0.0,114.345396,90.439658,0.0,117.569189,89.499998,0.0
