Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,133.528767,94.499998,0.0,142.550001,94.499998,0.0,NA,NA,NA
2,Line,142.550001,94.499998,0.0,146.550007,94.499998,0.0,NA,NA,NA
3,Line,146.550007,94.499998,0.0,156.170111,94.499998,0.0,NA,NA,NA
4,Line,156.170111,94.499998,0.0,159.15,94.499998,0.0,NA,NA,NA
5,Line,159.15,93.100004,0.0,159.15,94.499998,0.0,NA,NA,NA
6,Line,159.15,93.100004,0.0,159.15,89.499998,0.0,NA,NA,NA
7,Line,159.15,89.499998,0.0,157.550001,89.499998,0.0,NA,NA,NA
8,Line,157.550001,89.499998,0.0,146.550007,89.499998,0.0,NA,NA,NA
9,Line,146.550007,89.499998,0.0,146.550007,90.699997,0.0,NA,NA,NA
10,Line,146.550007,90.699997,0.0,146.149998,91.099997,0.0,NA,NA,NA
11,Line,146.149998,91.099997,0.0,142.950001,91.099997,0.0,NA,NA,NA
12,Line,142.950001,91.099997,0.0,142.550001,90.699997,0.0,NA,NA,NA
13,Line,142.550001,90.699997,0.0,142.550001,89.499998,0.0,NA,NA,NA
14,Line,142.550001,89.499998,0.0,117.569189,89.499998,0.0,NA,NA,NA
15,3_point_arc_1,117.569189,89.499998,0.0,114.345396,90.439658,0.0,112.131348,92.964296,0.0
16,Line,112.131348,92.964296,0.0,103.32757,111.844044,0.0,NA,NA,NA
17,3_point_arc_2,103.32757,111.844044,0.0,101.630134,113.779602,0.0,99.158554,114.499998,0.0
18,Line,99.158554,114.499998,0.0,95.250006,114.499998,0.0,NA,NA,NA
19,3_point_arc_3,95.250006,114.499998,0.0,92.138732,115.78873,0.0,90.85,118.900003,0.0
20,Line,90.85,118.900003,0.0,90.85,124.499998,0.0,NA,NA,NA
21,Line,90.85,124.499998,0.0,90.85,130.500002,0.0,NA,NA,NA
22,Line,90.85,130.500002,0.0,90.85,131.500006,0.0,NA,NA,NA
23,Line,91.850004,131.500006,0.0,90.85,131.500006,0.0,NA,NA,NA
24,Line,107.993469,131.500006,0.0,91.850004,131.500006,0.0,NA,NA,NA
25,3_point_arc_4,107.993469,131.500006,0.0,111.21727,130.560351,0.0,113.43132,128.035707,0.0
26,Line,113.43132,128.035707,0.0,127.18462,98.54167,0.0,NA,NA,NA
27,3_point_arc_5,127.18462,98.54167,0.0,129.767675,95.596263,0.0,133.528767,94.500005,0.0
28,Line,123.550005,94.499998,0.0,133.528767,94.499998,0.0,NA,NA,NA
29,Line,115.337477,94.499998,0.0,123.550005,94.499998,0.0,NA,NA,NA
30,3_point_arc_6,115.337477,94.499998,0.0,114.262881,94.81322,0.0,113.524866,95.654764,0.0
31,Line,105.664253,112.511902,0.0,113.524866,95.654764,0.0,NA,NA,NA
32,3_point_arc_7,105.664253,112.511902,0.0,102.859792,115.709782,0.0,98.776312,116.900005,0.0
33,Line,94.650002,116.900005,0.0,98.776312,116.900005,0.0,NA,NA,NA
34,3_point_arc_8,94.650002,116.900005,0.0,93.660045,117.310052,0.0,93.249998,118.300009,0.0
35,Line,93.249998,118.300009,0.0,93.249998,124.499998,0.0,NA,NA,NA
36,3_point_arc_9,93.249998,124.499998,0.0,93.835783,125.914221,0.0,95.250006,126.500006,0.0
37,Line,97.327833,126.500006,0.0,95.250006,126.500006,0.0,NA,NA,NA
38,Line,97.327833,126.500006,0.0,101.709156,126.500006,0.0,NA,NA,NA
39,Line,101.709156,126.500006,0.0,109.56316,126.500006,0.0,NA,NA,NA
40,3_point_arc_10,109.56316,126.500006,0.0,110.637762,126.186788,0.0,111.37578,125.34524,0.0
41,Line,111.37578,125.34524,0.0,119.894209,107.077379,0.0,NA,NA,NA
42,3_point_arc_11,119.894209,107.077379,0.0,120.263222,106.656609,0.0,120.800524,106.500006,0.0
43,Line,120.800524,106.500006,0.0,121.903906,106.500006,0.0,NA,NA,NA
44,3_point_arc_12,121.903906,106.500006,0.0,122.7473,106.962702,0.0,122.810211,107.922621,0.0
45,Line,112.129965,102.313757,0.0,112.975197,100.501146,0.0,NA,NA,NA
46,Line,113.489428,102.947683,0.0,114.33466,101.135073,0.0,NA,NA,NA
47,Line,118.111591,105.103045,0.0,118.956823,103.290424,0.0,NA,NA,NA
48,Line,119.471054,105.736971,0.0,120.316296,103.924351,0.0,NA,NA,NA
49,3_point_arc_13,113.489428,102.947683,0.0,112.49273,103.310457,0.0,112.129965,102.313757,0.0
50,3_point_arc_14,112.975197,100.501146,0.0,113.97189,100.13838,0.0,114.33466,101.135073,0.0
51,3_point_arc_15,118.956823,103.290424,0.0,119.953522,102.927653,0.0,120.316296,103.924351,0.0
52,3_point_arc_16,119.471054,105.736971,0.0,118.474362,106.099734,0.0,118.111591,105.103045,0.0
53,3_point_arc_17,113.626347,106.321669,0.0,112.097067,106.254891,0.0,110.968494,107.289047,0.0
54,3_point_arc_18,115.438957,107.166901,0.0,116.473105,108.295476,0.0,116.406345,109.824753,0.0
55,3_point_arc_19,113.372526,116.330786,0.0,111.907211,117.455165,0.0,110.145702,116.899767,0.0
56,3_point_arc_20,108.640728,115.394793,0.0,108.085317,114.327875,0.0,108.242321,113.135338,0.0
57,3_point_arc_21,105.952301,116.949015,0.0,107.012967,116.949006,0.0,107.012968,118.009672,0.0
58,3_point_arc_22,105.598745,119.423885,0.0,104.538082,119.423881,0.0,104.538088,118.363218,0.0
59,3_point_arc_23,109.204998,123.030128,0.0,109.204995,124.090789,0.0,110.265656,124.090796,0.0
60,3_point_arc_24,111.679869,122.676573,0.0,111.679864,121.615911,0.0,110.619202,121.615915,0.0
61,3_point_arc_25,103.018017,121.085787,0.0,103.451564,123.265367,0.0,101.603804,124.499998,0.0
62,3_point_arc_26,101.418018,119.485788,0.0,100.769173,119.052241,0.0,100.003805,118.900003,0.0
63,3_point_arc_27,97.250004,118.900003,0.0,95.83579,119.485788,0.0,95.250006,120.900002,0.0
64,3_point_arc_28,95.250006,122.5,0.0,95.835791,123.914213,0.0,97.250004,124.499998,0.0
65,Line,113.626347,106.321669,0.0,115.438957,107.166901,0.0,NA,NA,NA
66,Line,116.406345,109.824753,0.0,113.372526,116.330786,0.0,NA,NA,NA
67,Line,108.242321,113.135338,0.0,110.968494,107.289047,0.0,NA,NA,NA
68,Line,108.640728,115.394793,0.0,110.145702,116.899767,0.0,NA,NA,NA
69,Line,109.204998,123.030128,0.0,110.619202,121.615915,0.0,NA,NA,NA
70,Line,110.265656,124.090796,0.0,111.679869,122.676573,0.0,NA,NA,NA
71,Line,105.598745,119.423885,0.0,107.012968,118.009672,0.0,NA,NA,NA
72,Line,104.538088,118.363218,0.0,105.952301,116.949015,0.0,NA,NA,NA
73,Line,101.418018,119.485788,0.0,103.018017,121.085787,0.0,NA,NA,NA
74,Line,97.250004,118.900003,0.0,100.003805,118.900003,0.0,NA,NA,NA
75,Line,95.250006,120.900002,0.0,95.250006,122.5,0.0,NA,NA,NA
76,Line,97.250004,124.499998,0.0,101.603804,124.499998,0.0,NA,NA,NA
