Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_circle_1,139.249996,88.5,8.999998,135.199994,88.5,6.661728,135.199994,88.5,11.338268
2,3_point_circle_2,140.350008,88.5,8.999999,134.650005,88.5,5.7091,134.650005,88.5,12.290897
3,3_point_circle_3,155.250006,88.5,9.000001,151.200008,88.5,6.661734,151.200008,88.5,11.338268
4,3_point_circle_4,156.350004,88.5,9.000004,150.650009,88.5,5.70911,150.650009,88.5,12.290898
5,3_point_circle_1,141.350003,89.5,9.000001,134.150007,89.5,4.843081,134.150007,89.5,13.15692
6,3_point_circle_2,157.35001,89.5,8.999999,150.150007,89.5,4.843075,150.150007,89.5,13.156922
